time;ffmpegPid;ffmpegMemMB;mtxPid;mtxMemMB;lumoraMemMB;capMemMB;ready;mbReceived;readers;framesInError;gpuPct;encPct;decPct;gpuTempC;logErrLines;lastFps;lastSpeed
2026-07-07 01:26:26;53476;214;48396;51;598;214;True;321.9;1;0;11;6;15;49;121;;
2026-07-07 01:27:27;53476;214;48396;57;597;215;True;380.5;2;0;11;8;11;50;121;;
2026-07-07 01:28:27;53476;218;48396;57;607;215;True;439.1;2;0;11;8;12;50;121;;
2026-07-07 01:29:27;53964;212;53656;55;604;138;True;15.1;2;0;10;10;11;50;120;;
2026-07-07 01:30:27;53964;213;53656;57;605;168;True;73.8;2;0;10;9;15;51;120;;
2026-07-07 01:31:27;54680;215;53656;56;606;149;True;28.6;2;0;7;8;16;51;119;;
2026-07-07 01:32:27;54680;217;53656;57;605;178;True;72.9;2;0;7;12;3;51;119;;
2026-07-07 01:33:27;54680;217;53656;59;631;193;True;117.3;2;0;10;7;1;52;119;;
2026-07-07 01:34:27;54680;217;53656;58;604;197;True;161.4;2;0;12;8;15;52;119;;
2026-07-07 01:35:28;54680;217;53656;58;614;197;True;205.6;2;0;7;7;13;52;119;;
2026-07-07 01:36:28;54680;218;53656;58;606;197;True;249.9;2;0;9;9;14;53;119;;
2026-07-07 01:37:28;54680;218;53656;59;605;198;True;294.2;2;0;8;7;12;53;119;;
2026-07-07 01:38:28;54680;218;53656;54;602;198;True;338.4;1;0;9;8;13;53;119;;
2026-07-07 01:39:28;54680;219;53656;55;604;198;True;382.6;1;0;8;8;11;53;119;;
2026-07-07 01:40:28;54680;219;53656;54;606;198;True;426.9;1;0;7;6;10;54;119;;
2026-07-07 01:41:28;54680;219;53656;54;602;198;True;471.1;1;0;8;8;11;54;119;;
2026-07-07 01:42:28;54680;219;53656;54;609;198;True;515.2;1;0;9;13;12;54;119;;
2026-07-07 01:43:28;54680;219;53656;54;604;198;True;559.6;1;0;8;12;14;54;119;;
2026-07-07 01:44:28;54680;219;53656;54;601;199;True;604.1;1;0;8;8;15;54;119;;
2026-07-07 01:45:29;54680;219;53656;55;606;198;True;648.3;1;0;9;10;13;54;119;;
2026-07-07 01:46:29;54680;219;53656;54;607;199;True;692.5;1;0;8;9;9;54;119;;
2026-07-07 01:47:29;54680;219;53656;55;611;199;True;736.9;1;0;8;11;13;54;119;;
2026-07-07 01:48:29;54680;219;53656;54;608;199;True;781;1;0;7;8;14;54;119;;
2026-07-07 01:49:29;54680;219;53656;54;602;198;True;825.3;1;0;8;8;7;54;119;;
2026-07-07 01:50:29;54680;219;53656;54;607;198;True;869.5;1;0;8;10;12;54;119;;
2026-07-07 01:51:29;54680;219;53656;54;606;198;True;913.8;1;0;9;9;9;55;119;;
2026-07-07 01:52:29;54680;219;53656;55;603;198;True;958.1;1;0;8;7;12;55;119;;
2026-07-07 01:53:29;54680;219;53656;55;607;198;True;1002.3;1;0;8;10;12;55;119;;
2026-07-07 01:54:29;54680;219;53656;54;603;198;True;1046.6;1;0;8;8;13;55;119;;
2026-07-07 01:55:30;54680;219;53656;55;607;199;True;1091;1;0;8;10;13;55;119;;
2026-07-07 01:56:30;54680;219;53656;56;604;199;True;1135.3;1;0;9;11;12;55;119;;
2026-07-07 01:57:30;54680;219;53656;55;604;199;True;1179.4;1;0;8;5;12;55;119;;
2026-07-07 01:58:30;54680;219;53656;55;605;199;True;1223.6;1;0;9;11;14;55;119;;
2026-07-07 01:59:30;54680;219;53656;55;605;198;True;1267.9;1;0;10;10;1;55;119;;
